food,cert
36223,2734
1460,1653
35695,4984
36454,3015
37106,3460
36771,3336
35657,1068
36096,2083
36950,914
35836,24699
36539,15613
35917,2142
36352,1957
37331,3319
35931,21921
35885,6384
36841,5415
36063,3318
35780,2779
36731,36125
37248,25854
37172,4165
36417,3318
2223,999
37075,2438
36293,11445
2181,2405
36363,3491
35655,1159
36901,1797
76663,2358
542,1153
36895,3463
3699,2399
37412,604
3108,3272
36489,922
36479,3318
2996,2410
37409,23451
36904,3507
78034,2085
35502,852
37154,3319
3240,2218
35604,3545
36592,2762
35645,4140
37153,3612
37253,1273
35618,3637
754,3309
35420,428
36305,878
35742,3183
37243,424
37056,5415
36318,2438
36602,1341
2239,1029
36570,3318
35452,36123
37228,1957
37400,3071
1599,724
37104,1813
76346,1382
294,1335
36670,3318
36243,3494
37280,3251
37049,180
36513,657
36391,1041
35740,1957
3280,724
35845,1797
35687,3324
37200,2201
36024,4979
2093,2410
35523,36442
37256,1288
36364,595
2796,866
35486,21921
750,2424
36578,479
35643,922
345,724
1672,2421
776,724
36462,3318
35746,1675
1617,724
35622,4506
2165,491
35672,2438
2638,831
2509,2411
35910,3650
2488,852
36879,2351
3753,2406
3042,3305
2715,2424
36214,900
36354,1956
36273,1129
35873,2147
36529,2744
37025,1813
378,833
37368,36080
2336,2217
37002,2734
37098,1797
2962,2735
36235,36769
36060,2148
35484,2749
36272,4525
1923,3309
35982,1813
35915,3335
37356,6136
1835,999
36930,4140
36357,3318
36432,10713
61138,1457
37268,37210
2189,3309
36814,3520
1372,2781
35620,10713
36429,1795
36935,3637
35956,1107
36760,1813
3741,2142
36190,1956
35993,878
3206,1653
37127,3512
3413,852
36966,878
1070,2734
36544,1795
35584,2359
35764,2147
35601,21921
36458,3319
2178,1795
36029,37210
35800,5861
36118,2360
1926,2406
37175,15613
36298,3073
36781,8903
3635,631
60659,2176
37070,4986
36230,1464
36477,11550
2813,832
37413,1334
3562,922
36056,3071
1497,1142
36916,2359
2772,1126
37128,6375
35920,2147
36671,180
37446,1943
36412,1337
35998,1956
37181,1795
37308,1979
2252,1123
36113,182
36918,428
35630,2351
3277,2120
36292,922
3176,3308
36995,2608
847,866
36358,491
36624,36769
3061,852
36890,1159
36506,4161
35647,1813
2770,1001
35897,3302
37326,3099
2983,2781
36226,3773
36559,4506
36912,2147
37345,21921
36066,15613
37079,36125
2395,2749
36542,36374
36336,3067
2402,1029
37149,6741
35772,180
3043,1653
355,633
36681,3429
1310,2410
35446,8903
35431,2734
2029,1029
36406,36769
36332,3507
35552,1288
3748,3570
3586,1335
35947,1813
2349,834
37235,3319
36384,2140
36675,11445
36550,3334
3560,834
795,2218
35717,1174
453,1140
3196,633
36522,36769
36167,4916
37203,3071
37199,2734
36990,1813
3368,830
35778,36123
2524,2410
37255,1813
36274,10713
3384,701
35433,3082
36973,1657
1856,1140
36617,1956
37442,3082
35660,1066
35793,852
2624,1795
36645,16987
36574,3319
841,2410
76814,1115
36382,1813
1145,2137
35442,21921
2187,1029
37080,3626
36600,1956
36568,1458
36952,878
1729,3299
36865,3650
36652,1174
1747,878
36625,1258
36328,610
36603,396
35544,36373
37352,3319
36708,36378
36835,3319
2672,644
36885,3570
36661,1813
35425,10713
1235,3311
271,2082
36145,312
37272,1950
3474,2217
1390,1029
35842,25911
1868,831
37329,4140
35983,1464
35921,1969
37293,36080
36767,1298
1641,1653
36019,1797
36900,7193
36433,1604
2464,2137
36275,391
36410,1261
37445,7585
36503,1174
35812,3071
35411,1813
35642,922
35546,3319
35574,10713
2154,1658
1537,3309
35681,436
35878,2183
1586,2410
1138,2427
36557,1341
36202,1951
36147,1797
35496,21921
36886,922
36913,922
35566,1797
35509,1957
3534,3309
36842,17739
821,1795
60975,60625
35930,1337
35576,1174
35799,1464
3307,2505
36157,428
3076,2413
2470,1152
37347,1174
36947,914
35637,3099
3128,896
36642,1341
36807,8903
37061,3507
36565,3319
36310,1285
36750,2140
845,2417
3204,2410
36640,36443
35837,1950
35722,3251
36892,3319
1683,2137
36978,3389
35438,3334
2593,3253
3722,2505
35744,1353
1737,914
37265,1797
36788,3570
35916,36375
36158,3570
36562,1813
36301,900
36635,36123
37028,1174
36674,1174
35880,3067
59877,3622
37194,4506
37250,11551
36314,1813
342,633
36280,3068
1239,1153
36783,1335
2376,877
36593,11445
1649,3309
2392,3309
37004,3782
36058,1797
1469,2137
35414,3264
37392,2359
35543,2734
36999,2734
37116,922
37083,1951
35508,181
36813,3564
37320,2077
36844,2734
36296,1353
1238,2399
1651,1795
36785,852
2522,2410
36907,1813
36397,1813
37297,1288
37226,23451
2318,3305
1667,1029
35599,1956
35846,37210
36584,2683
2958,3309
35779,2631
2294,3430
36254,36374
3640,2120
37443,15836
76372,1382
37406,2734
2952,3305
36799,922
2647,1001
36797,1068
3002,2505
36891,4555
35781,3318
35472,428
37323,5389
2938,1309
36333,21921
37081,3251
37031,36082
302,222
37342,2316
632,3309
36888,36112
36001,1813
35423,844
36424,922
36311,1640
35868,878
36997,852
3193,3309
2865,3298
35548,2140
907,668
37372,180
2905,1123
36588,914
36598,3570
37315,21921
36069,1797
2454,491
36367,922
36710,3318
37334,9410
2375,2266
35782,180
1644,2439
2523,2142
3341,831
1280,2140
36037,3599
35668,1458
368,2410
36032,2147
2794,3430
3207,631
36545,922
2831,2137
37395,7193
36795,3099
35469,3318
3225,834
35580,844
36778,1174
35531,1339
35796,900
511,637
36732,4165
36422,1550
35693,11433
36299,1848
3352,1029
35707,1464
37126,3082
35638,3319
35733,36125
36775,21921
1010,2410
35903,1797
36329,1797
2667,2781
2043,491
1766,896
36236,852
35453,3334
36754,1174
37068,4979
36882,3318
1647,491
35700,1174
35578,21921
35985,922
36389,21921
37364,36082
289,1797
35413,1956
280,2781
36972,1813
37318,606
2690,694
2502,2146
37044,316
36695,483
3285,2781
37304,1972
37191,1174
3010,2781
946,1721
1993,2734
36174,900
37338,1439
1616,3430
36337,394
37091,2147
747,996
2205,831
37363,3599
35857,2563
35831,1065
684,834
36808,4984
36047,3318
37161,37207
2601,3324
3378,1153
35721,1797
2641,491
3231,1001
37125,1797
36142,5847
36761,1358
2234,1718
37144,3284
815,2266
3125,2781
36784,3490
1300,3309
35713,1174
35571,3071
304,2424
36871,7582
36508,2734
36073,3662
276,1783
35448,1797
1421,3309
36141,2147
76983,2637
2436,1029
36094,1285
36658,601
2067,2727
777,2781
37221,3319
35959,1068
35568,3318
1433,2406
36090,37209
2556,1151
37365,1957
755,3305
36804,3497
35855,3782
36812,1957
35589,36125
3022,2726
35972,2192
36485,3533
35951,3650
36152,2147
194,2137
36648,428
1363,3309
36286,3599
35537,3599
1284,1153
36304,2152
36122,10713
36238,1813
2196,633
36143,3494
36480,4979
35563,3319
37439,4550
2765,2410
36084,36123
36300,1255
37227,1813
1710,631
36954,1848
889,1029
35981,36378
303,491
36323,2142
1900,1653
37165,1458
36392,21921
35417,878
1345,3309
35652,3321
36933,3637
35440,3334
37038,654
36370,1174
299,2140
36894,900
1277,1118
35610,1339
35639,1813
37325,4979
3427,1029
35593,878
35462,7193
35494,3520
2961,1029
36379,3533
667,491
36183,17631
35407,1116
35752,4152
37234,3099
2957,3430
36207,10732
3062,1252
36172,3564
3296,896
3440,852
36558,36117
37118,2147
35924,8321
592,2218
37376,15613
36601,2352
375,2410
36616,2686
36255,1062
2869,2426
36213,9410
2719,2739
36957,3520
37167,21921
1471,1000
849,3309
2193,1314
36051,36769
36647,1174
1878,3309
3406,2410
37441,36114
35847,1255
36533,37202
35850,3320
35558,2552
1229,2144
1736,2734
37373,3099
36694,37208
35703,4539
35513,2147
2922,183
36449,4979
1706,1139
37114,998
36491,1813
521,2423
36870,3497
37387,2140
1194,724
36052,10732
558,1335
35659,21921
36468,15613
36809,428
37251,878
37240,11445
2380,2505
36677,1511
2400,2780
36036,7587
36612,11445
2208,699
36585,1174
35412,2216
37039,1797
2586,2781
37302,3773
35701,21921
37090,3782
323,833
35776,3637
2021,2439
35516,3318
1058,1335
35594,2743
1715,1152
433,1312
35684,852
36994,3319
36831,36374
35602,784
35926,2140
36621,1397
36240,2363
35818,1956
35450,11445
3077,2217
36133,23451
2999,3512
1276,2399
36257,1957
37129,998
36420,2681
37436,11445
36902,1311
1043,2410
3677,2779
35963,1813
35542,4506
36048,1813
36527,1813
35883,3551
35704,3319
1503,2504
35788,1956
2658,3308
37398,1458
36655,3251
36663,1156
3415,491
37259,27029
411,1795
37084,1956
817,678
36969,1337
37232,37210
36184,900
1451,633
36106,23451
2654,3309
35761,2730
35557,617
37055,1156
36045,653
2037,2409
36369,1174
35608,10695
36062,878
3614,671
35823,24651
35592,2398
35953,1065
35804,3535
36014,1464
2206,1156
36137,25890
1671,2734
36869,1956
37014,655
36395,1061
36829,1797
36327,1797
76759,3288
36549,180
37146,1848
35844,3497
3513,3430
2703,3305
36951,2147
35538,3570
1698,831
36231,3318
622,671
37278,1797
2130,2439
518,2410
35479,3637
796,2424
36005,1550
36932,3494
36225,1797
3619,2217
36464,1813
36928,3319
36514,4539
35946,2552
1063,3308
35869,1944
2483,1270
35731,1174
3561,1851
36319,1797
757,2410
2301,2410
37051,2147
930,852
36209,3773
36942,2117
1189,2781
36192,3071
2692,631
35705,23424
36459,3564
2890,1309
36590,2762
1901,1140
36628,3071
36159,3066
2684,1122
35824,1657
35624,4506
589,2781
36715,3251
1887,1029
36595,3599
35697,1041
36534,1156
35877,1813
36372,922
35856,3082
1670,1252
36264,3183
1472,2410
35716,2032
581,1001
37432,21921
36927,37202
1728,831
37260,5387
37353,15613
36815,3497
35612,17632
408,896
35463,3318
1502,3570
36439,21921
35936,3099
37324,385
2769,2734
36968,2639
1283,1029
1902,2410
37141,1334
35848,1797
2557,2406
35838,3618
1682,1140
36687,3570
35894,628
3644,2781
35864,5387
1200,724
37043,1174
35586,1797
3587,2410
37032,1797
1992,834
35907,1950
798,633
35900,3015
35646,2147
35876,1797
37328,3327
235,2438
35954,1174
2431,1029
35436,3507
36478,1255
35960,504
36065,1341
37415,4553
1861,2424
36777,1813
2254,3305
35986,878
36044,1156
36075,1957
1389,2728
36423,35718
37242,3535
35690,3319
35970,3460
2131,3512
35439,1811
35774,36769
891,896
36594,900
36531,26742
36899,36115
37305,37207
739,1252
36850,922
2284,678
35861,4556
36699,3602
36848,3494
36343,36121
37171,1306
35482,2059
975,1252
925,1029
37078,17739
35973,1972
36971,3319
36446,1797
36247,3520
37451,1307
36124,3564
870,2781
1826,1029
2475,896
37397,422
35471,491
1802,2734
36398,1174
2942,877
36981,3507
37217,914
35530,1795
35874,2734
37301,3319
35628,1527
37033,4506
35961,1557
842,1653
35852,922
36651,1314
35632,3564
36351,873
37355,3252
1215,2082
62938,11671
37456,1956
3086,3303
37113,3462
36889,3319
37340,1511
35422,1811
35735,5387
1237,2137
2767,724
35666,3337
2689,2781
36525,1813
36526,406
35918,3015
37262,3319
3758,2775
624,2137
1260,2749
35980,1174
37163,2740
35475,3334
37362,3599
236,3305
1210,1140
1169,724
36260,4521
35958,3637
36451,6384
2833,2146
37195,878
36415,3319
36678,922
37213,3319
35708,1334
36490,1797
2371,3250
36414,4466
2015,831
2939,1795
275,829
693,491
38482,3287
1816,3621
39160,2741
37665,3287
37813,3771
3127,896
38450,2304
1380,491
2618,831
38146,2728
38180,1553
1190,2781
37495,3071
38011,3773
3697,633
38999,1431
37914,3771
38695,25893
38307,11449
38162,2728
539,3430
38293,2740
2020,2412
37890,1156
37503,3773
1701,1743
38037,3551
2186,999
38628,3306
38150,1335
37627,1335
37664,3798
39419,1354
38351,1059
38515,38094
3710,3305
38156,1362
1336,3430
37628,23152
1103,1001
37844,936
37698,436
39465,330
296,2439
38987,2728
37889,2183
39225,2140
1621,833
37565,38077
39326,3507
39408,2734
38283,2734
37539,2728
38958,971
851,1152
3488,2217
1733,1252
38471,3287
39202,2683
37939,2728
39042,2088
38163,1354
39417,1377
37937,1445
38618,2625
39297,4149
38229,3599
38221,2457
38945,1954
2461,1172
3228,3570
37793,2625
38396,2628
38117,4149
38344,1937
469,2781
3019,852
38725,2660
2656,3622
37891,3558
38740,19171
38685,1475
37641,2805
39273,438
1187,834
39437,2728
38922,1357
38086,1374
779,831
2997,2505
38022,3551
486,2749
38603,2028
1352,1306
39045,1970
37962,2735
2156,491
38928,1377
37690,39239
39006,3771
39262,37745
1244,2137
37814,1972
39107,4521
1094,866
1188,724
37924,10695
38590,39244
37912,1553
37723,3773
38214,2168
38970,4983
3243,3325
38783,4984
2444,724
509,2725
39371,2883
1912,724
38625,1972
2307,831
38407,25893
1726,1029
37684,3798
2300,2440
3180,2410
38247,2734
38126,3535
39364,1972
37708,2742
38863,3618
2150,697
38687,2237
38114,1335
38865,491
2814,2137
37528,3014
3160,825
38198,644
3314,1029
2929,999
932,2410
39270,3773
966,1001
38852,462
2487,831
38207,3473
39427,4984
38549,3773
38512,25893
39331,1972
38254,3551
1677,1153
38073,25893
1157,2406
37468,38094
2368,724
39131,3618
39188,1341
1727,1153
38362,37747
1386,2266
37689,4342
39198,229
39268,1258
38400,1302
3675,2390
39172,3251
37761,2097
39030,37743
2149,1140
38278,1258
38891,2357
3006,1653
2801,2505
38467,1038
1717,1029
38056,10695
38167,3795
1022,724
38203,1937
781,831
2267,2406
38998,825
38717,2140
39308,2859
37647,3570
38461,3251
39421,13003
38847,1972
3290,635
38893,2710
38796,2707
2203,2414
38501,1261
39360,5863
38924,3535
39153,3480
894,3253
381,422
38135,1374
2555,3512
39093,3480
3110,662
2671,2216
38782,3480
2525,833
38620,1937
37782,3512
743,827
38634,3480
2716,2734
37739,3522
38600,2740
38169,2140
39028,38077
2499,3305
1808,2424
38648,3773
3123,2399
765,2424
38155,229
3754,1795
37902,2741
38464,3287
3187,3536
1700,2505
38680,1972
37515,2140
38014,4556
3392,3298
38873,5863
1691,2410
2687,3430
37472,1972
38346,2626
449,491
38132,2485
39413,3551
528,1118
39171,4342
38817,2728
38068,3516
2486,1743
3369,3309
3582,834
38641,1307
38498,1938
38398,1074
77803,1115
37674,1302
441,896
37615,3321
3755,2094
37852,1302
766,2137
39277,6741
38066,38095
38342,2728
39256,6136
3360,3305
37598,2808
3390,874
37763,3486
39115,3797
2057,2781
37926,2734
3313,3570
38747,3162
1214,2399
38745,3771
38885,1262
61780,3282
37941,3323
293,1653
37759,2691
38598,2749
37998,2729
2843,2146
39043,39250
1197,2410
38670,1261
3091,724
38984,3558
2787,2424
38509,2662
39110,3480
2702,2410
37802,2660
38363,3335
37779,2728
973,831
38826,2735
38769,3475
1929,3250
2882,2095
38694,3782
39428,3551
38534,1302
38859,25890
39406,2740
38473,3483
38327,2734
1148,2734
2319,2424
38174,21602
38067,2741
38821,5389
1814,2425
38109,2761
278,2144
37589,2708
38042,2735
3205,3309
38977,10691
77363,2113
37906,38096
3666,670
38339,2728
2603,2410
38722,2749
38101,1302
37990,1302
37575,9412
37499,1302
3743,671
39205,724
39120,38454
38857,2705
1870,3248
1036,724
37599,971
38723,997
38591,3287
38986,1475
38994,3797
3046,2410
38253,462
38730,2805
39212,3558
77976,1382
37994,37747
1584,1309
38803,2314
61933,11671
39140,2734
3763,2410
38361,37747
2680,631
38900,3782
38699,2728
2510,896
819,3305
37532,3797
3211,831
38989,5863
39367,3287
37875,3551
2091,2137
39330,1001
38585,3066
2419,1153
37578,39238
2045,1795
39294,1258
38491,3771
737,2399
38435,4986
39383,2740
38643,3558
37816,3622
37963,2733
39350,2686
37876,1553
37866,2749
3428,827
39070,4466
2822,491
38779,4342
37600,2734
620,1653
37593,3771
37974,2740
38191,5411
2123,1154
38547,1604
3367,2399
37522,1337
882,2781
38801,2782
3100,633
37988,2735
38819,3520
39149,37745
38816,2674
38617,38096
963,3250
39015,2657
39226,4983
266,831
38440,1117
38291,2426
38427,37747
38578,2728
39123,3551
38759,10695
37519,724
38966,2734
38555,3306
37933,2708
37825,2428
39002,4342
37483,38112
1110,2775
39001,38077
37922,2728
37507,2807
3007,2217
37834,1475
37843,1969
38415,2708
39004,2142
37756,1953
38866,2686
3585,3430
38030,2728
37951,2734
39099,2728
37846,3599
38237,3782
37514,2728
38938,25893
1241,1029
3690,724
3365,834
39435,6771
3229,1151
39381,38098
950,1335
38906,3480
37533,38077
37536,3251
37863,2740
39261,2728
39423,1059
37590,2303
39353,39237
1558,724
37845,2728
3191,2424
37473,898
1198,2399
37780,38077
39385,11448
38324,2620
1639,896
2955,1653
38536,2728
1867,2439
38712,2734
2404,2428
37849,1475
1645,1787
2072,3436
37631,2140
38925,3287
38088,2518
38384,4342
1024,678
37833,1569
2521,1653
39332,2728
39286,1334
38064,844
1614,631
39389,2147
3008,999
2959,831
38834,3773
37991,3771
38299,2457
38560,1972
3712,1795
2956,827
38521,3773
38930,23503
965,3618
37493,1555
38993,1392
37955,37747
3220,2410
39343,871
3471,1140
39444,4342
38035,1356
588,2781
37616,1375
38310,3287
39457,939
270,2082
39074,2728
1857,1000
38429,2728
2752,1029
37638,1258
38727,3828
39418,3264
1248,432
38012,3486
38124,2485
37799,3551
3247,827
39114,25893
1204,3430
740,1174
38569,3473
3001,2410
37497,878
38679,1001
39066,2179
1642,724
1121,724
37462,3480
38197,3620
37564,2665
38316,3570
3328,1029
39340,985
37815,3512
1873,1335
38326,2728
37781,6145
38545,3322
3156,2218
39461,2628
38529,724
37501,2708
498,3260
37787,1475
811,1029
38194,438
1600,831
712,2781
38806,1972
38029,1972
2966,2731
38624,2674
39357,25890
38349,6741
37774,5411
38850,5847
247,2399
893,2781
37888,1475
2384,2399
38116,2781
1002,832
38374,8593
38731,2749
37767,936
38196,2734
39061,38077
1687,896
39156,38076
2855,2391
38874,1972
2982,2504
39104,1374
39378,3570
38552,1972
38152,2147
237,1335
38054,878
38520,1569
2129,724
39210,2147
1023,2780
38193,1258
1860,896
297,3430
37727,5863
1829,631
38964,3287
38417,23503
37854,1255
38721,2734
2539,3309
38179,4983
1665,1140
38556,2728
38905,3480
39313,5411
37596,2749
1831,1335
3139,724
3414,724
37669,3251
1762,2147
37680,2714
756,1029
38003,2147
38053,3433
37878,1298
888,852
39203,38096
319,852
3035,668
37867,2728
3615,2430
37543,2913
1348,1029
39052,898
38696,1972
38061,6474
38460,2302
39051,2734
37753,3797
38773,3798
37896,1255
39083,1953
37717,4548
2964,2399
39301,3551
39420,2734
38322,39250
37651,1335
37987,5863
38733,2734
38305,1379
76430,1382
37893,2728
38812,2708
197,1001
38321,2685
1101,831
38050,724
37809,4983
38963,10695
38697,3798
38786,2665
38189,5411
1663,3309
38646,1258
1207,669
1963,2399
2379,831
37644,2734
38892,2147
2403,631
38275,6771
1146,1152
2722,2390
38739,2728
3631,422
37751,1074
39410,377
38808,1972
39433,3798
37862,2734
2655,3309
38360,1258
3146,179
248,2417
38570,37209
38382,1897
38897,2728
38490,3287
2467,833
38562,6741
37510,2728
39372,1142
38903,2314
1732,3309
37945,3520
1264,834
1263,724
38256,1302
38829,39245
38580,1475
38387,38077
37486,2749
1855,852
76374,1382
2800,1883
38441,1554
37459,3287
38506,1074
38909,38079
3364,2141
37518,2734
39029,2421
816,2424
38979,1972
38853,1354
1234,997
37694,1475
1052,1029
2441,1001
39199,1307
38343,2728
38734,3773
2582,3309
38530,1302
39155,2657
39440,3342
39073,2504
2553,1271
37635,4978
38939,2437
1711,852
38894,3322
1763,2146
3144,3309
38841,1972
38690,4521
37716,2140
39108,38100
37971,10695
3224,896
39056,1074
38263,1972
501,2781
38262,2734
38645,229
3714,3620
39113,2710
890,923
38236,1258
39082,2734
38675,2438
39112,3264
39341,1358
39288,1298
2407,1743
3044,2424
37646,2728
39365,1972
38875,2657
76778,3569
39285,491
39309,2515
38647,2674
1003,3512
38330,2734
1051,1653
39396,969
38663,1622
267,1001
39167,1258
2204,1653
38913,1302
746,3309
38926,3287
37984,1789
2984,2410
38164,3558
37517,1354
3756,831
38285,1302
1173,920
39248,2749
38781,2728
38005,3431
3484,2399
39441,990
1918,2781
1730,877
39231,1972
38266,3321
62653,11671
38120,2485
1176,2137
38612,2726
1949,2137
38592,184
37617,2438
39008,4342
215,2213
3407,1001
38568,2740
3279,2775
2895,724
37731,4506
38862,1972
39050,13006
37746,3797
38211,971
39251,2714
1205,1335
37705,38077
39191,2232
37494,5863
1618,876
38980,3251
1704,2137
38807,2728
1005,834
39201,724
281,2781
38902,3538
38883,2740
1764,1029
38872,2859
39031,3251
39467,2749
2646,1151
2936,896
38233,1307
38466,2728
37587,4342
38136,3082
553,2897
38171,39243
39438,316
762,678
38373,3323
38519,37745
37847,2140
3344,2137
37921,3558
39339,3551
38882,2728
322,831
38234,3480
591,633
38744,5847
846,1029
39116,1302
38597,37747
37550,2741
39101,2735
38082,3472
38103,2734
2619,2142
39065,3771
2506,2216
38348,1555
1881,896
38161,2712
2496,3437
39200,3771
2313,831
38709,8593
39162,5863
39145,2457
38340,2728
39014,38454
2210,2780
2459,2137
37668,3555
39379,2625
3530,3302
37597,1676
37567,3520
38854,316
3267,831
38401,2728
38370,2729
2826,3322
1696,852
1083,2781
38793,3306
1790,896
38855,25893
38627,2734
38421,971
389,831
1551,2137
39183,3497
38505,2734
39224,2735
3456,831
39259,3480
38296,3287
213,1140
1009,2410
37857,3287
38604,392
38416,2732
38889,2728
1646,3309
38860,1972
39281,37745
244,3430
39401,38096
38799,1302
2338,1253
38846,1972
38002,4342
37895,1335
38302,2728
1419,3620
37508,10694
38602,4983
38880,644
37524,1417
38888,1302
3330,2409
37885,1261
573,1718
38607,3287
39299,1302
264,1029
37671,4342
38577,1311
39321,25932
37879,394
39147,3066
37465,3782
39422,3797
38139,6774
37637,2740
2166,1029
37666,1475
2285,3309
456,878
38802,2356
2581,834
38919,2119
1141,877
3451,1156
39130,875
39197,1938
38186,37745
38423,3558
38583,2734
62786,11671
214,2727
38357,2147
1328,2424
38985,25893
2434,3309
37697,3797
1652,2734
38090,37747
2484,1252
38838,2712
1524,179
2572,2781
37842,436
38089,37745
1751,2414
38071,2734
39342,422
647,994
1054,2439
37688,39243
37940,4539
1428,831
38702,438
37801,2147
37489,8321
38486,3798
1208,1308
1305,834
37556,9412
626,1307
38678,3070
927,1029
38192,2728
3169,2137
37993,969
39463,2734
437,1029
38973,2749
38871,438
38785,3797
1692,1029
37730,3533
38438,1261
3466,3430
38306,37742
37874,3522
39234,969
38950,2728
39169,2749
1299,2410
1158,1140
39023,3251
38954,1334
3760,3436
2451,831
2365,3430
1162,1659
38991,3520
2127,1308
38665,25890
37487,25893
666,724
38217,13006
38632,38095
38024,25890
3278,1151
39394,2179
39192,2734
38240,39208
38814,3251
37663,3251
39018,2734
39092,39247
37474,39246
279,2749
37636,37747
37883,1362
37918,3323
37884,1374
38886,3771
37579,2691
37707,1258
77929,1382
37948,2728
38522,2740
38200,1553
38320,1475
2344,2781
39266,1308
37840,1361
1538,1177
38190,3771
38968,2059
2458,2439
38092,3535
37509,10695
37566,3782
38406,3558
38380,3522
935,1743
38265,3551
39292,2728
38459,3251
1505,1001
38108,3599
38772,1258
3616,3305
38472,3287
37965,1972
2107,2217
39118,4342
39090,4525
484,724
38574,7222
37981,2728
39424,3306
38274,2728
2255,1335
37744,3551
38887,1354
38777,2734
37982,396
3514,2217
1349,866
37686,2734
37561,3486
911,2439
38081,4915
38715,2034
1712,2726
38974,483
884,1029
38526,2147
39157,2728
38379,6379
1697,896
1476,896
38638,2728
37992,1288
39429,23471
37557,481
39105,1302
38710,2140
2315,3309
1454,3309
745,2398
39175,1362
3297,631
3199,2726
37548,3551
37821,38454
38718,2749
38148,38096
2041,2781
38637,1258
407,3299
38250,2991
37609,3551
38178,8593
37558,1640
38840,1377
38610,3558
540,3512
3158,2399
37603,3251
3442,631
38004,2749
38593,2734
221,2781
39426,1261
37830,3495
38981,3771
37540,2708
1708,1653
823,2137
2670,1140
39094,1255
37504,3771
38629,1258
37713,1383
37848,5863
786,631
38728,3797
37796,2734
38034,3107
37606,1334
37592,310
37850,1059
2416,999
38111,3318
39312,3618
3371,3250
38658,3797
38657,2734
390,691
39398,6136
37469,971
39010,3535
343,2410
37853,2735
37653,438
39327,2626
39139,2674
2211,3250
39133,2685
37660,1381
39091,2735
39081,2734
37894,1302
2270,1795
39269,1573
768,3309
39391,1001
1904,1029
37901,3797
3079,852
37642,2728
2194,3325
37555,8593
38453,3472
37861,3251
782,1743
38823,1972
305,1174
1693,633
39302,4983
37640,38454
2960,3305
1370,3309
37529,1384
2350,1029
38282,1383
2370,724
38338,3797
37544,1258
37576,3480
37930,2728
38272,1445
1201,1001
37582,2734
1351,2781
39161,6379
37643,25890
2337,2422
3263,872
38267,3569
37973,229
37925,38737
38494,898
